pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
gā,ga,ga1,嘎,嘎,"NA","NA",LiJingEr,SOUND
gū,gu,gu1,呱,呱,ku,*kʷˤa,LiJingEr,SOUND
hā,ha,ha1,哈,哈,"NA","NA",LiJingEr,SOUND
hēi,hei,hei1,嘿,嘿,"NA","NA",LiJingEr,SOUND
hǒu,hou,hou3,吼,吼,"NA","NA",LiJingEr,SOUND
hūi,hui,hui1,咴,咴,"NA","NA",LiJingEr,SOUND
jī,ji,ji1,嘰,叽,"NA","NA",LiJingEr,SOUND
jīu,jiu,jiu1,啾,啾,"NA","NA",LiJingEr,SOUND
háng,hang,hang2,吭,吭,"NA","NA",LiJingEr,SOUND
lei,lei,lei5,嘞,嘞,"NA","NA",LiJingEr,SOUND
liàng,liang,liang4,亮,亮,ljangH,*[r]aŋ-s,LiJingEr,SOUND
lou,lou,lou5,嘍,喽,"NA","NA",LiJingEr,SOUND
miāo,miao,miao1,喵,喵,"NA","NA",LiJingEr,SOUND
nāng,nang,nang1,囔,囔,"NA","NA",LiJingEr,SOUND
niè,nie,nie4,嗫,嗫,"NA","NA",LiJingEr,SOUND
ō,o,o1,噢,噢,"NA","NA",LiJingEr,SOUND
bàng,bang,bang4,磅,磅,"NA","NA",LiJingEr,SOUND
pēng,peng,peng1,砰,砰,"NA","NA",LiJingEr,SOUND
qī,qi,qi1,嘁,嘁,"NA","NA",LiJingEr,SOUND
jiǎo,jiao,jiao3,湫,湫,"NA","NA",LiJingEr,SOUND
sè,se,se4,瑟,瑟,srit,*[s.m]ri[t],LiJingEr,SOUND
sī,si,si1,嘶,嘶,sej,*[s]ˤe,LiJingEr,SOUND
tà,ta,ta4,嗒,嗒,"NA","NA",LiJingEr,SOUND
téng,teng,teng2,騰,腾,dong,*lˤəŋ,LiJingEr,SOUND
tūn,tun,tun1,吞,吞,then,*l̥ˤən,LiJingEr,SOUND
dé,de,de2,嘚,嘚,"NA","NA",LiJingEr,SOUND
dīng,ding,ding1,叮,叮,"NA","NA",LiJingEr,SOUND
duō,duo,duo1,哆,哆,tsyhaeX,*[t-l̥]Ajʔ,LiJingEr,SOUND
gē,ge,ge1,咯,咯,"NA","NA",LiJingEr,SOUND
gū,gu,gu1,呱,呱,ku,*kʷˤa,LiJingEr,SOUND
háo,hao,hao2,嚎,嚎,"NA","NA",LiJingEr,SOUND
hēng,heng,heng1,哼,哼,"NA","NA",LiJingEr,SOUND
hū,hu,hu1,呼,呼,xu,*qʰˤa,LiJingEr,SOUND
huò,huo,huo4,嚯,嚯,"NA","NA",LiJingEr,SOUND
jī,ji,ji1,唧,唧,"NA","NA",LiJingEr,SOUND
kā,ka,ka1,喀,喀,"NA","NA",LiJingEr,SOUND
kòu,kou,kou4,叩,叩,khuwX,*kʰˤ(r)oʔ,LiJingEr,SOUND
liè,lie,lie4,獵,猎,ljep,*r[a]p,LiJingEr,SOUND
líng,ling,ling2,玲,玲,"NA","NA",LiJingEr,SOUND
lū,lu,lu1,嚕,噜,"NA","NA",LiJingEr,SOUND
miē,mie,mie1,咩,咩,"NA","NA",LiJingEr,SOUND
ní,ni,ni2,呢,呢,"NA","NA",LiJingEr,SOUND
nǐu,niu,niu3,扭,扭,"NA","NA",LiJingEr,SOUND
ōu,ou,ou1,嘔,呕,'uwX,*qˤ(r)oʔ,LiJingEr,SOUND
pēi,pei,pei1,呸,呸,"NA","NA",LiJingEr,SOUND
lǐn,lin,lin3,凜,凛,limX,*[r][ə]mʔ,LiJingEr,SOUND
qiāng,qiang,qiang1,鏘,锵,"NA","NA",LiJingEr,SOUND
qū,qu,qu1,蛐,蛐,"NA","NA",LiJingEr,SOUND
shā,sha,sha1,沙,沙,srae,*sˤraj,LiJingEr,SOUND
sōu,sou,sou1,颼,飕,"NA","NA",LiJingEr,SOUND
tái,tai,tai2,台,台,yi,*lə,LiJingEr,SOUND
tì,ti,ti4,嚏,嚏,tejH,*[t]ˤi[t]-s (< *t.lˤ-?),LiJingEr,SOUND
wā,wa,wa1,哇,哇,"NA","NA",LiJingEr,SOUND
dēng,deng,deng1,噔,噔,"NA","NA",LiJingEr,SOUND
dōng,dong,dong1,咚,咚,"NA","NA",LiJingEr,SOUND
duō,duo,duo1,咄,咄,twot,*[t]ˤut,LiJingEr,SOUND
gé,ge,ge2,嗝,嗝,"NA","NA",LiJingEr,SOUND
