pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
gē~gē~dā~dā,ge~ge~da~da,ge1~ge1~da1~da1,咯咯噠噠,咯咯哒哒,NA,NA,WangWanRen,SOUND
gē~gē~gā,ge~ge~ga,ge1~ge1~ga1,咯咯嘎,咯咯嘎,NA,NA,WangWanRen,SOUND
gē~lā~gē~lā,ge~la~ge~la,ge1~la1~ge1~la1,咯啦咯啦,咯啦咯啦,NA,NA,WangWanRen,SOUND
gē~hǎn~gē~hǎn,ge~han~ge~han,ge1~han3~ge1~han3,咯㘕咯㘕,咯㘕咯㘕,NA,NA,WangWanRen,SOUND
gē~tǎ~tǎ,ge~ta~ta,ge1~ta3~ta3,咯塔塔,咯塔塔,NA,NA,WangWanRen,SOUND
gē~zhā,ge~zha,ge1~zha1,咯喳,咯喳,NA,NA,WangWanRen,SOUND
gē~zhī,ge~zhi,ge1~zhi1,咯吱,咯吱,NA,NA,WangWanRen,SOUND
gē~zhī~gē~zhī,ge~zhi~ge~zhi,ge1~zhi1~ge1~zhi1,咯吱咯吱,咯吱咯吱,NA,NA,WangWanRen,SOUND
gē~zhī~zhī,ge~zhi~zhi,ge1~zhi1~zhi1,咯吱吱,咯吱吱,NA,NA,WangWanRen,SOUND
gē~gē,ge~ge,ge1~ge1,格格,格格,kaek~kaek,*kˤrak~*kˤrak,WangWanRen,SOUND
gē~lā~gē~lā,ge~la~ge~la,ge1~la1~ge1~la1,格拉格拉,格拉格拉,kaek~lop~kaek~lop,*kˤrak~*[r]ˤəp~*kˤrak~*[r]ˤəp,WangWanRen,SOUND
gē~lā~lā,ge~la~la,ge1~la1~la1,格啦啦,格啦啦,kaek,*kˤrak,WangWanRen,SOUND
gē~zhī~zhī,ge~zhi~zhi,ge1~zhi1~zhi1,格吱吱,格吱吱,kaek,*kˤrak,WangWanRen,SOUND
gē~bēng~bēng,ge~beng~beng,ge1~beng1~beng1,圪嘣嘣,圪嘣嘣,NA,NA,WangWanRen,SOUND
gē~chá~chá,ge~cha~cha,ge1~cha2~cha2,圪察察,圪察察,NA~tsrheat~tsrheat,NA~*[tsʰ]ˤret~*[tsʰ]ˤret,WangWanRen,SOUND
gē~dā~dā,ge~ta~ta,ge1~da1~da1,圪嗒嗒,圪嗒嗒,NA,NA,WangWanRen,SOUND
gé~gé,ge~ge,ge2~ge2,閣閣,阁阁,kak~kak,*C.kˤak~*C.kˤak,WangWanRen,SOUND
gěng~zhī~gěng~zhī,geng~zhi~geng~zhi,geng3~zhi1~geng3~zhi1,哽吱哽吱,哽吱哽吱,NA,NA,WangWanRen,SOUND
gǒu~gā,𠯜~ga,gou3~ga1,𠯜嘎,𠯜嘎,NA,NA,WangWanRen,SOUND
gū~a~gā~a,gu~a~ga~a,gu1~a5~ga1~a5,咕啊嘎啊,咕啊嘎啊,NA,NA,WangWanRen,SOUND
gū~a~gū~a,gu~a~gu~a,gu1~a5~gu1~a5,咕啊呱啊,咕啊呱啊,NA~NA~ku,NA~NA~*kʷˤa,WangWanRen,SOUND
gū~cā,gu~ca,gu1~ca1,咕嚓,咕嚓,NA,NA,WangWanRen,SOUND
gū~dā~gū~dā,gu~da~gu~da,gu1~da1~gu1~da1,咕噠咕噠,咕哒咕哒,NA,NA,WangWanRen,SOUND
gū~dēng,gu~deng,gu1~deng1,咕噔,咕噔,NA,NA,WangWanRen,SOUND
gū~dēng~gū~dēng,gu~deng~gu~deng,gu1~deng1~gu1~deng1,咕噔咕噔,咕噔咕噔,NA,NA,WangWanRen,SOUND
gū~dōng,gu~dong,gu1~dong1,咕冬,咕冬,NA~towng,NA~*tˤuŋ,WangWanRen,SOUND
gū~dōng~dōng,gu~dong~dong,gu1~dong1~dong1,咕冬冬,咕冬冬,NA~towng~towng,NA~*tˤuŋ~*tˤuŋ,WangWanRen,SOUND
gū~dōng~gū~dōng,gu~dong~gu~dong,gu1~dong1~gu1~dong1,咕冬咕冬,咕冬咕冬,NA~towng~NA~towng,NA~*tˤuŋ~NA~*tˤuŋ,WangWanRen,SOUND
gū~lāng~lāng,gu~lang~lang,gu1~lang1~lang1,咕啷啷,咕啷啷,NA,NA,WangWanRen,SOUND
gū~lāng~gū~lāng,gu~lang~gu~lang,gu1~lang1~gu1~lang1,咕啷咕啷,咕啷咕啷,NA,NA,WangWanRen,SOUND
gū~gū,gu~gu,gu1~gu1,咕咕,咕咕,NA,NA,WangWanRen,SOUND
gū~gū~gē,gu~gu~ge,gu1~gu1~ge1,咕咕咯,咕咕咯,NA,NA,WangWanRen,SOUND
gū~gū~gū~gū,gu~gu~gu~gu,gu1~gu1~gu1~gu1,咕咕咕咕,咕咕咕咕,NA,NA,WangWanRen,SOUND
gū~gū~lóng~lóng,gu~gu~long~long,gu1~gu1~long2~long2,咕咕隆隆,咕咕隆隆,NA~NA~ljuwng~ljuwng,NA~NA~*[r]uŋ~*[r]uŋ,WangWanRen,SOUND
