pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,morph,variant,Kroll,sensorymod,zdic,note,datasource,morphology
du1~du1~nong2~nong2,dū~dū~nóng~nóng,du~du~nong~nong,嘟嘟噥噥,嘟嘟哝哝,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
du1~nong2,dū~nóng,du~nong,嘟噥,嘟哝,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
du1~lu1,dū~lū,du~lu,嘟嚕,嘟噜,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
du3~su4,dǔ~sù,du~su,篤速,笃速,towk~suwk,*tˤuk~*[s]ˤok,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
duo1,duō,duo,咄,咄,twot,*[t]ˤut,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
duo1~duo1,duō~duō,duo~duo,咄咄,咄咄,twot~twot,*[t]ˤut~*[t]ˤut,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
e1~e1,ē~ē,e~e,阿阿,阿阿,'a~'a,*qˤa[j]~*qˤa[j],NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
e4,è,e,呃,呃,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
e4~e4,è~è,e~e,啞,哑,'aeX,*ʔˤraʔ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
e4~e4,è~è,e~e,啞啞,哑哑,'aeX~'aeX,*ʔˤraʔ~*ʔˤraʔ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
e4~e4,è~è,e~e,呃呃,呃呃,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
e4~wo4,è~wò,e~wo,呃喔,呃喔,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
fei4,fèi,fei,沸,沸,pj+jH,*Nə.p[u][t]-s,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
fei4~fei4,fèi~fèi,fei~fei,沸沸,沸沸,pj+jH~pj+jH,*Nə.p[u][t]-s~*Nə.p[u][t]-s,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
fu2~fu2~chi1~chi1,fú~fú~chī~chī,fu~fu~chi~chi,咈咈哧哧,咈咈哧哧,bjut~bjut,*[m-p][u]t~*[m-p][u]t,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1,gā,ga,嘎,嘎,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ga1~ba1,gā~bā,ga~ba,嘎巴,嘎巴,NA~pae,NA~*pˤra,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
