traditional,simplified,pyoriginal,pinyintone,pinyinnum,morphology,sensorymod,datasource,inbetween,same
陽陽,阳阳,yáng yáng,yáng~yáng,yang2~yang2,REDUPLICATION,FEELING,Shijing,yángyáng,different
陽陽,阳阳,yáng yáng,yáng~yáng,yang2~yang2,REDUPLICATION,VISUAL,Shijing,yángyáng,different
陾陾,陾陾,réng réng,réng~réng,reng2~reng2,REDUPLICATION,VISUAL,Shijing,réngréng,different
雝雝,雍雍,yōng yōng,yōng~yōng,yong1~yong1,REDUPLICATION,SOUND,Shijing,yōngyōng,different
雝雝,雍雍,yōng yōng,yōng~yōng,yong1~yong1,REDUPLICATION,SOUND,Shijing,yōngyōng,different
雝雝,雍雍,yōng yōng,yōng~yōng,yong1~yong1,REDUPLICATION,SOUND,Shijing,yōngyōng,different
雝雝,雍雍,yōng yōng,yōng~yōng,yong1~yong1,REDUPLICATION,SOUND,Shijing,yōngyōng,different
雝雝,雍雍,yōng yōng,yōng~yōng,yong1~yong1,REDUPLICATION,SOUND+VISUAL,Shijing,yōngyōng,different
離離,离离,lí lí,lí~lí,li2~li2,REDUPLICATION,VISUAL,Shijing,lílí,different
離離,离离,lí lí,lí~lí,li2~li2,REDUPLICATION,VISUAL,Shijing,lílí,different
離離,离离,lí lí,lí~lí,li2~li2,REDUPLICATION,VISUAL,Shijing,lílí,different
離離,离离,lí lí,lí~lí,li2~li2,REDUPLICATION,VISUAL,Shijing,lílí,different
雰雰,氛氛,fēn fēn,fēn~fēn,fen1~fen1,REDUPLICATION,VISUAL,Shijing,fēnfēn,different
霏霏,霏霏,fēi fēi,fēi~fēi,fei1~fei1,REDUPLICATION,VISUAL,Shijing,fēifēi,different
