pinyinnum,traditional,simplified,morph,morphnew,pinyinnum_1,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,morphnew
hong1,訇,訇,,A,hong1,訇,,,,"0,1975",,,,1,,,,A
nuo4,諾,诺,,A,nuo4,诺,,,,"112,0296",,,,8,,,,A
hong1,輷,輷,,A,hong1,輷,,,,,,,,,,,,A
hong1,轟,轰,,A,hong1,轰,,,,"22,1531",,,,14,,,,A
tong1,通,通,,A,tong1,通,,,,"590,5877",,,,143,,,,A
bang1,邦,邦,,A,bang1,邦,,,,"34,5432",,,,10,,,,A
huang2,鍠,鍠,,A,huang2,鍠,,,,,,,,,,,,A
hong1,鍧,鍧,,A,hong1,鍧,,,,,,,,,,,,A
ling2,鈴,铃,,A,ling2,铃,,,,"26,4198",,,,16,,,,A
dang1,鐺,铛,,A,dang1,铛,,,,"2,8395",,,,2,,,,A
zheng1,錚,铮,,A,zheng1,铮,,,,"1,4074",,,,1,,,,A
qiang1,鏘,锵,,A,qiang1,锵,,,,"1,6444",,,,2,,,,A
tang1,鏜,镗,,A,tang1,镗,,,,"0,0444",,,,0,,,,A
peng1,閛,閛,,A,peng1,閛,,,,,,,,,,,,A
tang1,闛,闛,,A,tang1,闛,,,,,,,,,,,,A
tang1,閶,阊,,A,tang1,阊,,,,,,,,,,,,A
long2,隆,隆,,A,long2,隆,,,,"42,0395",,,,18,,,,A
huo4,霍,霍,,A,huo4,霍,,,,"39,7333",,,,3,,,,A
tang1,鞺,鞺,,A,tang1,鞺,,,,,,,,,,,,A
sa4,颯,飒,,A,sa4,飒,,,,"0,6963",,,,2,,,,A
sou1,颼,飕,,A,sou1,飕,,,,"1,0074",,,,2,,,,A
hou1,齁,齁,,A,hou1,齁,,,,,,,,,,,,A
fa2~jie2,汎𣶏𣶏,汎𣶏𣶏𣶏,BR,BR,fa2~jie2,汎,𣶏,,,,,,,,,,,ARR
ding1~ling2~ling2,丁零零,丁零零,RRR,ARR,ding1~ling2~ling2,丁,零,零,,"65,2543","96,6272",,,34,39,,,ARR
bu4~la1~la1,不剌剌,不剌剌,RRR,ARR,bu4~la1~la1,不,剌,剌,,"15110,2864","0,7062",,,669,0,FALSE,,ARR
bu4~la3~la3,不喇喇,不喇喇,RRR,ARR,bu4~la3~la3,不,喇,喇,,"15110,2864","34,0198",,,669,7,,,ARR
bu4~lang3~lang3,不朗朗,不朗朗,RRR,ARR,bu4~lang3~lang3,不,朗,朗,,"15110,2864","59,2988",,,669,16,,,ARR
bu4~lang2~lang2,不琅琅,不琅琅,RRR,ARR,bu4~lang2~lang2,不,琅,琅,,"15110,2864","4,4099",,,669,3,,,ARR
ke4~ding1~ding1~dang1,克丁丁當,克丁丁当,,ARR,ke4~ding1~ding1~dang1,克,丁,丁,,"612,6568","65,2543",,,37,34,,,ARR
ki4~za1~za1,克匝匝,克匝匝,,ARR,ki4~za1~za1,克,匝,匝,,"612,6568","0,5383",,,37,0,FALSE,,ARR
gua1~la3~la3,刮喇喇,刮喇喇,,ARR,gua1~la3~la3,刮,喇,喇,,"33,5012","34,0198",,,9,7,,,ARR
shua1~la5~la5,刷啦啦,刷啦啦,,ARR,shua1~la5~la5,刷,啦,啦,,"149,0963","1029,3136",,,20,8,,,ARR
gua1~la3~la3,勃喇喇,勃喇喇,,ARR,gua1~la3~la3,勃,喇,喇,,"16,7259","34,0198",,,16,7,,,ARR
zu2~lü4~lü4,卒律律,卒律律,,ARR,zu2~lü4~lü4,卒,律,律,,"2,1975","126,7654",,,8,26,,,ARR
qu3~lü4~lü4~lü4,取律律律,取律律律,,ARR,qu3~lü4~lü4~lü4,取,律,律,,"952,6617","126,7654",,,88,26,,,ARR
gu3~la1~la1,古剌剌,古剌剌,,ARR,gu3~la1~la1,古,剌,剌,,"184,1975","0,7062",,,84,0,FALSE,,ARR
gu3~du1~du1,古都都,古都都,,ARR,gu3~du1~du1,古,都,都,,"184,1975","4032,2716",,,84,27,,,ARR
gu3~lu1~lu1,古魯魯,古鲁鲁,,ARR,gu3~lu1~lu1,古,鲁,鲁,,"184,1975","56,7062",,,84,9,,,ARR
gu3~la1~la1,古鹿鹿,古鹿鹿,,ARR,gu3~la1~la1,古,鹿,鹿,,"184,1975","27,7877",,,84,15,,,ARR
ba1~da1~da1,叭噠噠,叭哒哒,,ARR,ba1~da1~da1,叭,哒,哒,,"7,4321","13,6049",,,6,1,TRUE,,ARR
ba1~la1~la1,叭啦啦,叭啦啦,,ARR,ba1~la1~la1,叭,啦,啦,,"7,4321","1029,3136",,,6,8,,,ARR
ding1~ling2~ling2,叮呤呤,叮呤呤,,ARR,ding1~ling2~ling2,叮,呤,呤,,"14,0988",,,,5,,,,ARR
ding1~dang1~dang1,叮當當,叮当当,,ARR,ding1~dang1~dang1,叮,当,当,,"14,0988","1142,9679",,,5,108,,,ARR
ding1~ling2~ling2,叮鈴鈴,叮铃铃,,ARR,ding1~ling2~ling2,叮,铃,铃,,"14,0988","26,4198",,,5,16,,,ARR
chi1~pi1~pi1,可丕丕,可丕丕,,ARR,chi1~pi1~pi1,可,丕,丕,,"3324,5926",,,,153,,,,ARR
ke3~pu1~pu1,可扑扑,可扑扑,,ARR,ke3~pu1~pu1,可,扑,扑,,"3324,5926","126,7753",,,153,21,,,ARR
ji1~zha1~zha1,嘰喳喳,叽喳喳,,ARR,ji1~zha1~zha1,叽,喳,喳,,5758,"2,5037",,,5,3,,,ARR
chi1~pi1~pi1,吃丕丕,吃丕丕,,ARR,chi1~pi1~pi1,吃,丕,丕,,"1526,8444",,,,43,,,,ARR
chi1~pi1~pi1,吃忒忒,吃忒忒,,ARR,chi1~pi1~pi1,吃,忒,忒,,"1526,8444","9,0519",,,43,0,FALSE,,ARR
ge4~la1~la1,各剌剌,各剌剌,,ARR,ge4~la1~la1,各,剌,剌,,"513,0815","0,7062",,,32,0,FALSE,,ARR
ge4~zhi1~zhi1,各支支,各支支,,ARR,ge4~zhi1~zhi1,各,支,支,,"513,0815","393,4667",,,32,46,,,ARR
ge4~lang2~lang2,各琅琅,各琅琅,,ARR,ge4~lang2~lang2,各,琅,琅,,"513,0815","4,4099",,,32,3,,,ARR
ge4~la1~la1,合剌剌,合剌剌,,ARR,ge4~la1~la1,合,剌,剌,,"550,8","0,7062",,,159,0,FALSE,,ARR
ji2~ding1~ding1~dang1,吉丁丁當,吉丁丁当,,ARR,ji2~ding1~ding1~dang1,吉,丁,丁,,"301,6543","65,2543",,,22,34,,,ARR
ji2~deng4~deng4,吉蹬蹬,吉蹬蹬,,ARR,ji2~deng4~deng4,吉,蹬,蹬,,"301,6543","2,9185",,,22,2,,,ARR
zhi1~lou2~lou2,吱嘍嘍,吱喽喽,,ARR,zhi1~lou2~lou2,吱,喽,喽,,"5,1951","77,6494",,,5,1,TRUE,,ARR
zhi1~lou5~lou5,吱嘍嘍,吱喽喽,,ARR,zhi1~lou5~lou5,吱,喽,喽,,"5,1951","77,6494",,,5,1,TRUE,,ARR
zhi1~niu3~niu3,吱扭扭,吱扭扭,,ARR,zhi1~niu3~niu3,吱,扭,扭,,"5,1951","32,5877",,,5,12,,,ARR
zi1~lou2~lou2,吱婁婁,吱娄娄,,ARR,zi1~lou2~lou2,吱,娄,娄,,"5,1951","1,8519",,,5,2,,,ARR
chi4~li4~li4,吸力力,吸力力,,ARR,chi4~li4~li4,吸,力,力,,"163,3975",1358479,,,31,268,,,ARR
chi4~li4~li4,吸哩哩,吸哩哩,,ARR,chi4~li4~li4,吸,哩,哩,,"163,3975","21,8074",,,31,0,FALSE,,ARR
